Platform Type	Center	Platform	Level	Sample	Barcode	File Name
miRNASeq	BCGSC	50	3	TCGA-44-5643-01	TCGA-44-5643-01A-01T-1627-13	TCGA-44-5643-01A-01T-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-5644-01	TCGA-44-5644-01A-21H-2038-13	TCGA-44-5644-01A-21H-2038-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-5645-01	TCGA-44-5645-01A-01T-1627-13	TCGA-44-5645-01A-01T-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6144-11	TCGA-44-6144-11A-01H-2169-13	TCGA-44-6144-11A-01H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6145-01	TCGA-44-6145-01A-11H-1754-13	TCGA-44-6145-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6146-01	TCGA-44-6146-01A-11H-A279-13/TCGA-44-6146-01B-04R-A27D-13/TCGA-44-6146-01A-11H-1754-13	TCGA-44-6146-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6146-01	TCGA-44-6146-01A-11H-A279-13/TCGA-44-6146-01B-04R-A27D-13/TCGA-44-6146-01A-11H-1754-13	TCGA-44-6146-01A-11H-A279-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6146-01	TCGA-44-6146-01A-11H-A279-13/TCGA-44-6146-01B-04R-A27D-13/TCGA-44-6146-01A-11H-1754-13	TCGA-44-6146-01B-04R-A27D-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6147-01	TCGA-44-6147-01A-11H-1754-13/TCGA-44-6147-01B-06R-A27D-13/TCGA-44-6147-01A-11H-A279-13	TCGA-44-6147-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6147-01	TCGA-44-6147-01A-11H-1754-13/TCGA-44-6147-01B-06R-A27D-13/TCGA-44-6147-01A-11H-A279-13	TCGA-44-6147-01A-11H-A279-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6147-01	TCGA-44-6147-01A-11H-1754-13/TCGA-44-6147-01B-06R-A27D-13/TCGA-44-6147-01A-11H-A279-13	TCGA-44-6147-01B-06R-A27D-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6148-01	TCGA-44-6148-01A-11H-1754-13	TCGA-44-6148-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6774-01	TCGA-44-6774-01A-21H-1857-13	TCGA-44-6774-01A-21H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6775-01	TCGA-44-6775-01A-11H-A279-13/TCGA-44-6775-01A-11H-1857-13/TCGA-44-6775-01C-02R-A27D-13	TCGA-44-6775-01A-11H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6775-01	TCGA-44-6775-01A-11H-A279-13/TCGA-44-6775-01A-11H-1857-13/TCGA-44-6775-01C-02R-A27D-13	TCGA-44-6775-01A-11H-A279-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6775-01	TCGA-44-6775-01A-11H-A279-13/TCGA-44-6775-01A-11H-1857-13/TCGA-44-6775-01C-02R-A27D-13	TCGA-44-6775-01C-02R-A27D-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6776-01	TCGA-44-6776-01A-11H-1857-13	TCGA-44-6776-01A-11H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6776-11	TCGA-44-6776-11A-01H-2169-13	TCGA-44-6776-11A-01H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6777-01	TCGA-44-6777-01A-11H-1857-13	TCGA-44-6777-01A-11H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6777-11	TCGA-44-6777-11A-01H-2169-13	TCGA-44-6777-11A-01H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6778-01	TCGA-44-6778-01A-11H-1857-13	TCGA-44-6778-01A-11H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6778-11	TCGA-44-6778-11A-01H-2169-13	TCGA-44-6778-11A-01H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-6779-01	TCGA-44-6779-01A-11H-1857-13	TCGA-44-6779-01A-11H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-7659-01	TCGA-44-7659-01A-11H-2065-13	TCGA-44-7659-01A-11H-2065-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-7660-01	TCGA-44-7660-01A-11H-2065-13	TCGA-44-7660-01A-11H-2065-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-7661-01	TCGA-44-7661-01A-11H-2065-13	TCGA-44-7661-01A-11H-2065-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-7662-01	TCGA-44-7662-01A-11H-2065-13	TCGA-44-7662-01A-11H-2065-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-7667-01	TCGA-44-7667-01A-31H-2065-13	TCGA-44-7667-01A-31H-2065-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-7669-01	TCGA-44-7669-01A-21H-2065-13	TCGA-44-7669-01A-21H-2065-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-7670-01	TCGA-44-7670-01A-11H-2065-13	TCGA-44-7670-01A-11H-2065-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-7671-01	TCGA-44-7671-01A-11H-2065-13	TCGA-44-7671-01A-11H-2065-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-7672-01	TCGA-44-7672-01A-11H-2065-13	TCGA-44-7672-01A-11H-2065-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-8117-01	TCGA-44-8117-01A-11H-2240-13	TCGA-44-8117-01A-11H-2240-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-8119-01	TCGA-44-8119-01A-11H-2240-13	TCGA-44-8119-01A-11H-2240-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-8120-01	TCGA-44-8120-01A-11H-2240-13	TCGA-44-8120-01A-11H-2240-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-A479-01	TCGA-44-A479-01A-31H-A24G-13	TCGA-44-A479-01A-31H-A24G-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-A47A-01	TCGA-44-A47A-01A-21H-A24G-13	TCGA-44-A47A-01A-21H-A24G-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-A47B-01	TCGA-44-A47B-01A-11H-A24G-13	TCGA-44-A47B-01A-11H-A24G-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-A47G-01	TCGA-44-A47G-01A-21H-A24G-13	TCGA-44-A47G-01A-21H-A24G-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-A4SS-01	TCGA-44-A4SS-01A-11H-A24S-13	TCGA-44-A4SS-01A-11H-A24S-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-A4SU-01	TCGA-44-A4SU-01A-11H-A24S-13	TCGA-44-A4SU-01A-11H-A24S-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-49-4487-01	TCGA-49-4487-01A-21H-1857-13	TCGA-49-4487-01A-21H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-49-4488-01	TCGA-49-4488-01A-01T-1754-13	TCGA-49-4488-01A-01T-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-49-4490-01	TCGA-49-4490-01A-21H-1857-13	TCGA-49-4490-01A-21H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-49-4512-01	TCGA-49-4512-01A-21H-1857-13	TCGA-49-4512-01A-21H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-49-4514-01	TCGA-49-4514-01A-21H-1857-13	TCGA-49-4514-01A-21H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-49-6742-01	TCGA-49-6742-01A-11H-1857-13	TCGA-49-6742-01A-11H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-49-6742-11	TCGA-49-6742-11A-01H-2169-13	TCGA-49-6742-11A-01H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-49-6743-01	TCGA-49-6743-01A-11H-1857-13	TCGA-49-6743-01A-11H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-49-6743-11	TCGA-49-6743-11A-01H-2169-13	TCGA-49-6743-11A-01H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-49-6744-01	TCGA-49-6744-01A-11H-1857-13	TCGA-49-6744-01A-11H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-49-6744-11	TCGA-49-6744-11A-01H-2169-13	TCGA-49-6744-11A-01H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-49-6745-01	TCGA-49-6745-01A-11H-1857-13	TCGA-49-6745-01A-11H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-49-6745-11	TCGA-49-6745-11A-01H-2169-13	TCGA-49-6745-11A-01H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-49-6761-01	TCGA-49-6761-01A-31H-1948-13	TCGA-49-6761-01A-31H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-49-6767-01	TCGA-49-6767-01A-11H-1857-13	TCGA-49-6767-01A-11H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5044-01	TCGA-50-5044-01A-21H-1857-13	TCGA-50-5044-01A-21H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5045-01	TCGA-50-5045-01A-01T-1627-13	TCGA-50-5045-01A-01T-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5049-01	TCGA-50-5049-01A-01T-1627-13	TCGA-50-5049-01A-01T-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5051-01	TCGA-50-5051-01A-21H-1857-13	TCGA-50-5051-01A-21H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5055-01	TCGA-50-5055-01A-01T-1627-13	TCGA-50-5055-01A-01T-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5066-01	TCGA-50-5066-01A-01T-1627-13	TCGA-50-5066-01A-01T-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5066-02	TCGA-50-5066-02A-11H-2089-13	TCGA-50-5066-02A-11H-2089-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5068-01	TCGA-50-5068-01A-01T-1627-13	TCGA-50-5068-01A-01T-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5072-01	TCGA-50-5072-01A-21H-1857-13	TCGA-50-5072-01A-21H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5930-01	TCGA-50-5930-01A-11H-1754-13	TCGA-50-5930-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5930-11	TCGA-50-5930-11A-01H-2169-13	TCGA-50-5930-11A-01H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5931-01	TCGA-50-5931-01A-11H-1754-13	TCGA-50-5931-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5932-01	TCGA-50-5932-01A-11H-1754-13	TCGA-50-5932-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5932-11	TCGA-50-5932-11A-01H-2169-13	TCGA-50-5932-11A-01H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5933-01	TCGA-50-5933-01A-11H-1754-13	TCGA-50-5933-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5933-11	TCGA-50-5933-11A-01H-2169-13	TCGA-50-5933-11A-01H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5935-01	TCGA-50-5935-01A-11H-1754-13	TCGA-50-5935-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5936-01	TCGA-50-5936-01A-11H-1627-13	TCGA-50-5936-01A-11H-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5939-01	TCGA-50-5939-01A-11H-1627-13	TCGA-50-5939-01A-11H-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5941-01	TCGA-50-5941-01A-11H-1754-13	TCGA-50-5941-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5942-01	TCGA-50-5942-01A-21H-1754-13	TCGA-50-5942-01A-21H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5944-01	TCGA-50-5944-01A-11H-1754-13	TCGA-50-5944-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5946-01	TCGA-50-5946-01A-11H-1754-13	TCGA-50-5946-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-5946-02	TCGA-50-5946-02A-11H-2089-13	TCGA-50-5946-02A-11H-2089-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-6590-01	TCGA-50-6590-01A-12H-1857-13	TCGA-50-6590-01A-12H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-6591-01	TCGA-50-6591-01A-11H-1754-13	TCGA-50-6591-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-6592-01	TCGA-50-6592-01A-11H-1754-13	TCGA-50-6592-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-6593-01	TCGA-50-6593-01A-11H-1754-13	TCGA-50-6593-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-6594-01	TCGA-50-6594-01A-11H-1754-13	TCGA-50-6594-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-6595-01	TCGA-50-6595-01A-12H-1857-13	TCGA-50-6595-01A-12H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-6597-01	TCGA-50-6597-01A-11H-1857-13	TCGA-50-6597-01A-11H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-6673-01	TCGA-50-6673-01A-11H-1948-13	TCGA-50-6673-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-7109-01	TCGA-50-7109-01A-11H-2038-13	TCGA-50-7109-01A-11H-2038-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-8457-01	TCGA-50-8457-01A-11H-2325-13	TCGA-50-8457-01A-11H-2325-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-8459-01	TCGA-50-8459-01A-11H-2325-13	TCGA-50-8459-01A-11H-2325-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-50-8460-01	TCGA-50-8460-01A-11H-2325-13	TCGA-50-8460-01A-11H-2325-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-53-7624-01	TCGA-53-7624-01A-11H-2065-13	TCGA-53-7624-01A-11H-2065-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-53-7626-01	TCGA-53-7626-01A-12H-2065-13	TCGA-53-7626-01A-12H-2065-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-53-7813-01	TCGA-53-7813-01A-11H-2169-13	TCGA-53-7813-01A-11H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-53-A4EZ-01	TCGA-53-A4EZ-01A-12H-A24S-13	TCGA-53-A4EZ-01A-12H-A24S-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-5899-01	TCGA-55-5899-01A-11H-1627-13	TCGA-55-5899-01A-11H-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6543-01	TCGA-55-6543-01A-11H-1754-13	TCGA-55-6543-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6642-01	TCGA-55-6642-01A-11H-1857-13	TCGA-55-6642-01A-11H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6712-01	TCGA-55-6712-01A-11H-1857-13	TCGA-55-6712-01A-11H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6968-01	TCGA-55-6968-01A-11H-1948-13	TCGA-55-6968-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6969-01	TCGA-55-6969-01A-11H-1948-13	TCGA-55-6969-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6970-01	TCGA-55-6970-01A-11H-1948-13	TCGA-55-6970-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6971-01	TCGA-55-6971-01A-11H-1948-13	TCGA-55-6971-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6972-01	TCGA-55-6972-01A-11H-1948-13	TCGA-55-6972-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6978-01	TCGA-55-6978-01A-11H-1948-13	TCGA-55-6978-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6979-01	TCGA-55-6979-01A-11H-1948-13	TCGA-55-6979-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6980-01	TCGA-55-6980-01A-11H-1948-13	TCGA-55-6980-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6981-01	TCGA-55-6981-01A-11H-1948-13	TCGA-55-6981-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6982-01	TCGA-55-6982-01A-11H-1948-13	TCGA-55-6982-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6983-01	TCGA-55-6983-01A-11H-1948-13	TCGA-55-6983-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6984-01	TCGA-55-6984-01A-11H-1948-13	TCGA-55-6984-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6985-01	TCGA-55-6985-01A-11H-1948-13	TCGA-55-6985-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6986-01	TCGA-55-6986-01A-11H-1948-13	TCGA-55-6986-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-6987-01	TCGA-55-6987-01A-11H-1948-13	TCGA-55-6987-01A-11H-1948-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7227-01	TCGA-55-7227-01A-11H-2038-13	TCGA-55-7227-01A-11H-2038-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7281-01	TCGA-55-7281-01A-11H-2038-13	TCGA-55-7281-01A-11H-2038-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7283-01	TCGA-55-7283-01A-11H-2038-13	TCGA-55-7283-01A-11H-2038-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7284-01	TCGA-55-7284-01B-11H-2240-13	TCGA-55-7284-01B-11H-2240-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7570-01	TCGA-55-7570-01A-11H-2038-13	TCGA-55-7570-01A-11H-2038-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7573-01	TCGA-55-7573-01A-11H-2038-13	TCGA-55-7573-01A-11H-2038-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7574-01	TCGA-55-7574-01A-11H-2038-13	TCGA-55-7574-01A-11H-2038-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7576-01	TCGA-55-7576-01A-11H-2065-13	TCGA-55-7576-01A-11H-2065-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7724-01	TCGA-55-7724-01A-11H-2169-13	TCGA-55-7724-01A-11H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7725-01	TCGA-55-7725-01A-11H-2169-13	TCGA-55-7725-01A-11H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7726-01	TCGA-55-7726-01A-11H-2169-13	TCGA-55-7726-01A-11H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7727-01	TCGA-55-7727-01A-11H-2169-13	TCGA-55-7727-01A-11H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7728-01	TCGA-55-7728-01A-11H-2186-13	TCGA-55-7728-01A-11H-2186-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7815-01	TCGA-55-7815-01A-11H-2169-13	TCGA-55-7815-01A-11H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7903-01	TCGA-55-7903-01A-11H-2169-13	TCGA-55-7903-01A-11H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7907-01	TCGA-55-7907-01A-11H-2169-13	TCGA-55-7907-01A-11H-2169-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-55-7910-01	TCGA-55-7910-01A-11H-2169-13	TCGA-55-7910-01A-11H-2169-13.isoform.quantification.txt
